,Geo_Place,Geo_Country,English_Country
3082,"Morbihan, Bretagne, France métropolitaine, France", France, France
3083,"Longview, Gregg County, Texas, United States of America", United States of America, United States of America
3084,"Cheltenham, Gloucestershire, South West England, England, United Kingdom", United Kingdom, United Kingdom
3087,Portugal,Portugal,Portugal
3088,"Abuja Street, Ikoyi, Banana Island, Eti Osa, Lagos, 20050, Nigeria", Nigeria, Nigeria
3089,"Vila Velha, Microrregião Vitória, Região Metropolitana da Grande Vitória, Mesorregião Central Espírito-Santense, Espírito Santo, Região Sudeste, Brasil", Brasil, Brazil
3090,"St. Basil-the-Great College School, 20, Starview Lane, Humberlea, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M9M 3B2, Canada", Canada, Canada
3091,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa", South Africa, South Africa
3092,"Marietta, Cobb County, Georgia, United States of America", United States of America, United States of America
3094,"千葉県, 日本 (Japan)", 日本 (Japan), Japan
3096,New Zealand / Aotearoa,New Zealand / Aotearoa,New Zealand
3097,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina", Argentina, Argentina
3098,"Sycamore, DeKalb County, Illinois, 60178, United States of America", United States of America, United States of America
3099,"Hampton, Hampton City, Virginia, United States of America", United States of America, United States of America
3100,"Bacoor, Cavite, Calabarzon, 4102, Philippines", Philippines, Philippines
3101,"Chicagoland Speedway, West Schweizer Road, CenterPoint Intermodal Center - Joliet, IL, Union, Joliet, Will County, Illinois, 60433, United States of America", United States of America, United States of America
3102,"Saratoga Springs, Saratoga County, New York, 12866, United States of America", United States of America, United States of America
3103,"Metro Manila, Philippines", Philippines, Philippines
3104,"PG&Co, Station Road, Westgate-on-Sea, Thanet, Kent, South East, England, CT8 8RF, United Kingdom", United Kingdom, United Kingdom
3105,"臺北市, 信義區, 臺北市, 11008, Taiwan", Taiwan, Taiwan
3106,"Le Void, Marainviller, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54300, France", France, France
3108,Africa,Africa,Africa
3109,"Peruíbe, Praça Monsenhor Lino dos Passos, Centro, Peruíbe, Região Imediata de Santos, Região Metropolitana da Baixada Santista, Região Intermediária de São Paulo, São Paulo, Região Sudeste, 11750-000, Brasil", Brasil, Brazil
3110,"I-Zone, Sunabeda, Koraput, Odisha, India", India, India
3111,"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina", Argentina, Argentina
3112,"Mckee Beshers Wildlife Management Area, Chesapeake and Ohio Canal Trail, Seneca, Bethesda, Montgomery County, Maryland, 20165, United States of America", United States of America, United States of America
3114,"Marikina, Metro Manila, Philippines", Philippines, Philippines
3115,"Abbotsford, Fraser Valley Regional District, British Columbia, Canada", Canada, Canada
3117,"OT7, Am Bach, Schroffen, Benzmühle, Ottenhöfen im Schwarzwald, Verwaltungsverband Kappelrodeck, Ortenaukreis, Baden-Württemberg, 77883, Deutschland", Deutschland, Germany
3120,"深圳市, 福田区, 深圳市, 广东省, 518000, China 中国", China 中国,China
3121,"Мар&с, 38/12, Коммунистическая улица, 1-й микрорайон, Кропоткинское городское поселение, Кавказский район, Краснодарский край, Южный федеральный округ, 352380, Россия", Россия, Russia
3122,"Tampa, Hillsborough County, Florida, United States of America", United States of America, United States of America
3123,"Київ, Україна", Україна, Ukraine
3124,"They, Saint-Paul-en-Jarez, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42740, France", France, France
3125,"Alabama, United States of America", United States of America, United States of America
3126,"Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia", Australia, Australia
3129,"Caldas Novas, Microrregião de Meia Ponte, Mesorregião Sul Goiano, Goiás, Região Centro-Oeste, Brasil", Brasil, Brazil
3130,"Washington, District of Columbia, 20500, United States of America", United States of America, United States of America
3131,"Oakland, Municipality of the District of Lunenburg, Lunenburg County, Nova Scotia, Canada", Canada, Canada
3132,"القاهرة, محافظة القاهرة, Egypt / مصر", Egypt / مصر,Egypt
3134,"Leicester, East Midlands, England, LE1 5YA, United Kingdom", United Kingdom, United Kingdom
3135,"Iloilo City, Iloilo, Western Visayas, 5000, Philippines", Philippines, Philippines
3136,"Guayaquil, Guayas, Ecuador", Ecuador, Ecuador
3137,"Belém, Microrregião de Belém, Mesorregião de Metropolitana de Belém, Pará, Região Norte, Brasil", Brasil, Brazil
3138,"Twitter, 1355, Market Street, Civic Center, San Francisco, San Francisco City and County, California, 94102, United States of America", United States of America, United States of America
3139,"North Roca, Homestead, Mesa, Maricopa County, Arizona, 85213, United States of America", United States of America, United States of America
3140,"Holstebro, Holstebro Kommune, Region Midtjylland, 7500, Danmark", Danmark, Denmark
3141,"Telford, Telford and Wrekin, West Midlands, England, TF3 4HB, United Kingdom", United Kingdom, United Kingdom
3142,Canada,Canada,Canada
3143,United States,United States,United States
3144,"Le Ranch, Places des Halles, Moulinade, Brioux-sur-Boutonne, Niort, Deux-Sèvres, Nouvelle-Aquitaine, France métropolitaine, 79170, France", France, France
3145,"Cornwall, South West England, England, United Kingdom", United Kingdom, United Kingdom
3146,"Organisation internationale du travail, Avenue Appia, Pâquis, Genève, 1209, Switzerland", Switzerland, Switzerland
3147,"Conflans-Sainte-Honorine, Saint-Germain-en-Laye, Yvelines, Île-de-France, France métropolitaine, 78700, France", France, France
3148,"The Haven, Orchard Hills, Sydney, New South Wales, 2748, Australia", Australia, Australia
3149,"Davao City, Davao Region, Philippines", Philippines, Philippines
3150,"Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92100, France", France, France
3151,"Paris, Île-de-France, France métropolitaine, France", France, France
3153,"Viana do Castelo, Alto Minho, Norte, Portugal", Portugal, Portugal
3154,"Dalton, Whitfield County, Georgia, United States of America", United States of America, United States of America
3156,"Petaling Jaya, Malaysia", Malaysia, Malaysia
3158,"Texas, United States of America", United States of America, United States of America
3159,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America", United States of America, United States of America
3160,"Chaligny, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54230, France", France, France
3161,"Digos, Davao del Sur, Davao Region, 8002, Philippines", Philippines, Philippines
3163,"My Cave, Walnut Street, Vista Verde, Mambog, Mambog 3, Bacoor, Cavite, Calabarzon, 4102, Philippines", Philippines, Philippines
3164,"Isère, Auvergne-Rhône-Alpes, France métropolitaine, France", France, France
3165,"COLEGIO NUESTRA SEÑORA DE LA PRESENTACIÓN, Avenida Calle 19, Los Mártires, Bogotá, Distrito Capital, 111411, Colombia", Colombia, Colombia
3169,"Lynbrook, Nassau County, New York, United States of America", United States of America, United States of America
3170,"辉苏木, 鄂温克族自治旗, Хөлөнбуйр / 呼伦贝尔市 / Hulunbuir, 内蒙古自治区, China 中国", China 中国,China
3171,Gabon,Gabon,Gabon
3172,"The Magic Shop, 1401, Laurens Road, Arcadia Hills, Greenville, Greenville County, Indian Land, 29607, United States of America", United States of America, United States of America
3173,"Great Britain, Essex, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom", United Kingdom, United Kingdom
3174,"Comodoro Rivadavia, Departamento Escalante, Chubut, Argentina", Argentina, Argentina
3178,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México", México, Mexico
3179,"Perugia, Umbria, Italia", Italia, Italy
3180,"Аз, Дунд зам, Богд ар хороолол, Улаанбаатар, 16094, Монгол Улс", Монгол Улс, Mongolia
3181,"Pachuca, Pachuca de Soto, Hidalgo, 42040, México", México, Mexico
3182,"イーハトーブ荻窪, 荻窪南口仲通商店街, 荻窪, 高円寺, 東京都, 杉並区, 167-0051, 日本 (Japan)", 日本 (Japan), Japan
3183,"Nyberg Road, North Port, Sarasota County, Florida, 34291, United States of America", United States of America, United States of America
3184,"Horsham, West Sussex, South East, England, United Kingdom", United Kingdom, United Kingdom
3185,"Bogotá, Distrito Capital, 110321, Colombia", Colombia, Colombia
3187,"The University of Minnesota, Twin Cities Campus, Knapp Street, Commonwealth Terrace Cooperative, Falcon Heights, Ramsey County, Minnesota, 55108, United States of America", United States of America, United States of America
3188,"Walthamstow, London, Greater London, England, E17 3AL, United Kingdom", United Kingdom, United Kingdom
3190,"Great Britain, Hampshire, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom", United Kingdom, United Kingdom
3191,"Gulf Coast, Gulf Harbor, Collier County, Florida, 34110-6206, United States of America", United States of America, United States of America
3192,"Minas Gerais, Região Sudeste, Brasil", Brasil, Brazil
3193,"Cagayan de Oro, Misamis Oriental, Northern Mindanao, Philippines", Philippines, Philippines
3196,"2nd, Holland, Allegan County, Michigan, 49423, United States of America", United States of America, United States of America
3197,"Región de Murcia, España", España,Spain
3198,"Daerah Khusus Ibukota Jakarta, Indonesia", Indonesia, Indonesia
3200,"Kappeln, Schleswig-Flensburg, Schleswig-Holstein, 24376, Deutschland", Deutschland, Germany
3202,"Antipolo, Rizal, Calabarzon, 1870, Philippines", Philippines, Philippines
3204,"Pusong, Aceh, 24351, Indonesia", Indonesia, Indonesia
3205,"East Godavari, Andhra Pradesh, India", India, India
3206,"Cancún, Benito Juárez, Quintana Roo, México", México, Mexico
3208,"Москва, Центральный федеральный округ, Россия", Россия, Russia
3211,"Homebush, Sydney, Strathfield Municipal Council, New South Wales, 2140, Australia", Australia, Australia
3212,"Northern Ireland, United Kingdom", United Kingdom, United Kingdom
3213,"Seward County, Kansas, United States of America", United States of America, United States of America
3214,"Perth, Western Australia, 6000, Australia", Australia, Australia
3215,"Нишавски управни округ, Централна Србија, Србија (Serbia)", Србија (Serbia),Serbia
3216,"Kuantan, Pahang, 25000, Malaysia", Malaysia, Malaysia
3217,"According to the GoogleMaps a settlement is situated somewhere here., Gabadaw, Hanang, Manyara, Northern Zone, Tanzania", Tanzania, Tanzania
3218,"Nueva Ecija, Central Luzon, Philippines", Philippines, Philippines
3219,"Orlando, Orange County, Florida, 32801, United States of America", United States of America, United States of America
3222,"Her She, Poplar Avenue, The Village, Memphis, Shelby County, Tennessee, 38117, United States of America", United States of America, United States of America
3223,Azərbaycan,Azərbaycan,Azerbaijan
3224,"Bhubaneshwar, Bhubaneswar (M.Corp.), Khordha, Odisha, 751001, India", India, India
3225,"Brisbane, Queensland, 4004, Australia", Australia, Australia
3226,"กรุงเทพมหานคร, ประเทศไทย", ประเทศไทย, Thailand
3227,"Fresno, Fresno County, California, United States of America", United States of America, United States of America
3228,"Iowa, United States of America", United States of America, United States of America
3229,"Ardsley, Town of Greenburgh, Westchester County, New York, 10502, United States of America", United States of America, United States of America
3230,"Salvador, Microrregião de Salvador, Região Metropolitana de Salvador, Mesorregião do Recôncavo baiano, Bahia, Região Nordeste, Brasil", Brasil, Brazil
3231,"Jalore, Jalor Tehsil, Jalor, Rajasthan, 343001, India", India, India
3232,"Westchester County, New York, United States of America", United States of America, United States of America
3233,Canada,Canada,Canada
3234,"Jacksonville, Onslow County, North Carolina, United States of America", United States of America, United States of America
3235,"Des Moines, Polk County, Iowa, United States of America", United States of America, United States of America
3238,"Policyjna, Dolny Taras, Gryfino, gmina Gryfino, powiat gryfiński, województwo zachodniopomorskie, 74-100, Polska", Polska, Poland
3239,"Tulare County, California, United States of America", United States of America, United States of America
3240,"Inverness Street, West Drumoyne, Glasgow, Glasgow City, Scotland, G51 4HG, United Kingdom", United Kingdom, United Kingdom
3241,"Jupiter, Palm Beach County, Florida, United States of America", United States of America, United States of America
3243,"Parrish, Manatee County, Florida, 34219, United States of America", United States of America, United States of America
3244,"Apeldoorn, Gelderland, Nederland", Nederland,Netherlands
3245,"Huntsville, Madison County, Alabama, United States of America", United States of America, United States of America
3246,"Baden-Württemberg, Deutschland", Deutschland, Germany
3247,"Earth, Lamb County, Texas, United States of America", United States of America, United States of America
3248,"Southport, North West England, England, PR8 1AH, United Kingdom", United Kingdom, United Kingdom
3249,"الرياض, الدرعية, عودة, منطقة الرياض, 13514 - 7741, Saudi Arabia / السعودية", Saudi Arabia / السعودية, Saudi Arabia / Saudi
3251,"Linhares, Microrregião Linhares, Mesorregião Litoral Norte Espírito-Santense, Espírito Santo, Região Sudeste, Brasil", Brasil, Brazil
3252,"Silvassa, Dadra and Nagar Haveli, 396230, India", India, India
3254,United States,United States,United States
3258,"Cedar Island, Currituck County, North Carolina, United States of America", United States of America, United States of America
3259,"Calle U, Batallón del Suburbio, Parroquia Febres Cordero, Guayaquil, Guayas, 090405, Ecuador", Ecuador, Ecuador
3260,"Oakland, Municipality of the District of Lunenburg, Lunenburg County, Nova Scotia, Canada", Canada, Canada
3261,"Wien, 1010, Österreich", Österreich, Austria
3262,"Florida, United States of America", United States of America, United States of America
3263,"ڪراچي Karachi, Karāchi District, سنڌ, پاکستان", پاکستان, Pakistan
3264,"Flower Mound, Denton County, Texas, United States of America", United States of America, United States of America
3265,"島根, 東京都, 足立区, 121-0815, 日本 (Japan)", 日本 (Japan), Japan
3266,"u.s.a, شارع ترعه المحمودية, المحروسة, عزبة نوبار باشا, الإسكندرية, 21922, Egypt / مصر", Egypt / مصر,Egypt
3267,"Tangerang, Banten, Indonesia", Indonesia, Indonesia
3268,"Cavite, Calabarzon, Philippines", Philippines, Philippines
3269,"Dom Armije, 12, Zelenih beretki, MZ ""Ferhadija"", Opština Centar, Grad Sarajevo, Kanton Sarajevo, Federacija Bosne i Hercegovine, 7100, Bosna i Hercegovina", Bosna i Hercegovina,Bosnia and Herzegovina
3271,"Anambra, Nigeria", Nigeria, Nigeria
3272,"Kankaanpää, Pohjois-Satakunnan seutukunta, Satakunta, Manner-Suomi, Suomi", Suomi, Suomi
3273,France,France,France
3274,"Houston, Harris County, Texas, 77002-5902, United States of America", United States of America, United States of America
3275,"Hawaii, United States of America", United States of America, United States of America
3276,"Muhu, Muhu vald, Saare maakond, Eesti", Eesti,Estonia
3279,"เพ-แกลง-กร่ำ ซอย3, พีนีรีปาร์คบีช, บ้านแกลง, ระยอง, จังหวัดระยอง, 21160, ประเทศไทย", ประเทศไทย, Thailand
3280,"Trinity, Trinity Boulevard, Pinellas County, Florida, 34688, United States of America", United States of America, United States of America
3281,"Northern California TRACON, Mather, Sacramento County, California, United States of America", United States of America, United States of America
3283,"Murcia, Área Metropolitana de Murcia, Región de Murcia, España", España,Spain
3284,"Chicagoland Speedway, West Schweizer Road, CenterPoint Intermodal Center - Joliet, IL, Union, Joliet, Will County, Illinois, 60433, United States of America", United States of America, United States of America
3285,"New Mexico, United States of America", United States of America, United States of America
3286,"Lecce, Puglia, Italia", Italia, Italy
3289,"Yishun, Yishun Avenue 2, Yishun, Singapore, Northwest, 769093, Singapore", Singapore, Singapore
3290,"West Bradenton, 6th Avenue Northwest, West Bradenton, Manatee County, Florida, 34209, United States of America", United States of America, United States of America
3291,"地獄, 大鹿村, 下伊那郡, 長野県, 399-1403, 日本 (Japan)", 日本 (Japan), Japan
3294,"Amador County, California, United States of America", United States of America, United States of America
3295,"The Comedy,, Emmaplein, Katwijk, Zuid-Holland, Nederland, 2225BK, Nederland", Nederland,Netherlands
3297,"Strada Vicinale Caffè Roma, Caffè Roma, Sassari, Sardegna, Italia", Italia, Italy
3298,"Zürich, Bezirk Zürich, Zürich, Switzerland", Switzerland, Switzerland
3299,"Boston, Suffolk County, Massachusetts, United States of America", United States of America, United States of America
3300,Schweiz/Suisse/Svizzera/Svizra,Schweiz/Suisse/Svizzera/Svizra,Schweiz/Suisse/Svizzera/Svizra
3303,"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika", Česká republika,Czech Republic
3304,"Chino Hills, San Bernardino County, California, 91709, United States of America", United States of America, United States of America
3305,Canada,Canada,Canada
3306,"މާލެ, Maldives", Maldives, Maldives
3307,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa", South Africa, South Africa
3308,"深圳市, 福田区, 深圳市, 广东省, 518000, China 中国", China 中国,China
3310,"Madina, Adenta, Greater Accra Region, PMB 107 MD, Ghana", Ghana, Ghana
3311,"Santa Ana, Orange County, California, United States of America", United States of America, United States of America
3312,"Encino, Los Angeles, Los Angeles County, California, 91316-3402, United States of America", United States of America, United States of America
3313,"Ontario, Canada", Canada, Canada
3314,"Midwest, Natrona County, Wyoming, United States of America", United States of America, United States of America
3316,"Pittsburgh, Allegheny County, Pennsylvania, 15262, United States of America", United States of America, United States of America
3317,"Narni, Terni, Umbria, 05035, Italia", Italia, Italy
3320,"Clearlake, Lake County, California, 95422, United States of America", United States of America, United States of America
3321,"Around the World, Whistler Olympic Park, Squamish-Lillooet Regional District, British Columbia, Canada", Canada, Canada
3322,"Central Valley, West Rindge Road, Blackslough Landing, San Joaquin County, California, 95201, United States of America", United States of America, United States of America
3323,"Ville du Soleil, Ιεράπετρα - Σητεία, Άσπρος Ποταμός, Πιλαλήματα, Δήμος Ιεράπετρας, Περιφερειακή Ενότητα Λασιθίου, Περιφέρεια Κρήτης, Κρήτη, 72055, Ελλάδα", Ελλάδα,Hellas
3324,"Cambridgeshire, East of England, England, United Kingdom", United Kingdom, United Kingdom
3328,"All Over The World, 4-44, Ziekerstraat, Stadscentrum, Nijmegen-Centrum, Nijmegen, Gelderland, Nederland, 6511 LH, Nederland", Nederland,Netherlands
3329,"Savage Street, The Nation, Prescott and Russell Counties, Eastern Ontario, Ontario, K0A 2M0, Canada", Canada, Canada
3330,대한민국,대한민국,Republic of Korea
3331,"Tasmania, Central Highlands, Tasmania, Australia", Australia, Australia
3332,"عمان, 11181, Jordan / الأُرْدُن", Jordan / الأُرْدُن,Jordan
3333,"کوہاٹ, Kohāt District, خیبر پښتونخوا, پاکستان", پاکستان, Pakistan
3334,"Palm Beach County, Florida, United States of America", United States of America, United States of America
3335,"西京区, 京都市, 京都府, 日本 (Japan)", 日本 (Japan), Japan
3336,"Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal", Portugal, Portugal
3337,"Trump, Towson, Baltimore County, Maryland, 21161, United States of America", United States of America, United States of America
3338,"Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06660, Türkiye", Türkiye,Turkey
3339,"20, Superiora Palmira, Barrio Juan domingo Peron, Municipio de Presidencia Roque Sáenz peña, Presidencia Roque Sáenz Peña, Departamento Comandante Fernández, Chaco, H3700, Argentina", Argentina, Argentina
3340,"Un Village, 一里山町, 本町, 富田林市, 大阪府, 584-0033, 日本 (Japan)", 日本 (Japan), Japan
3341,"Recife, Região Geográgica Imediata do Recife, Região Metropolitana do Recife, Região Geográfica Intermediária do Recife, Pernambuco, Região Nordeste, Brasil", Brasil, Brazil
3342,भारत - India,भारत - India,India
3343,"Toroslar, Mersin, Akdeniz Bölgesi, Türkiye", Türkiye,Turkey
3344,Россия,Россия,Russia
3345,"Sussex County, Virginia, United States of America", United States of America, United States of America
3346,"دمشق, 2277, Sūriyya سوريا", Sūriyya سوريا, Syria
3347,"Tysons, Dulles Toll Road, Cinnamon Creek, Wolf Trap, Fairfax County, Virginia, 22182, United States of America", United States of America, United States of America
3348,"Arlington, Tarrant County, Texas, United States of America", United States of America, United States of America
3349,"Lake Arrowhead, San Bernardino County, California, 92352, United States of America", United States of America, United States of America
3353,"Goregaon, Station Road, Motilal Nagar 1, P/S Ward, Zone 4, Mumbai, Mumbai Suburban, Maharashtra, 400062, India", India, India
3356,"Beverly Hills, Los Angeles County, California, 90210, United States of America", United States of America, United States of America
3357,"Sand Springs, Tulsa County, Oklahoma, United States of America", United States of America, United States of America
3358,"Citrus Heights, Sacramento County, California, United States of America", United States of America, United States of America
3359,"Oak Bay, Capital Regional District, British Columbia, Canada", Canada, Canada
3360,"Chula Vista, San Diego County, California, United States of America", United States of America, United States of America
3362,"Tijuana, Municipio de Tijuana, Baja California, 22105, México", México, Mexico
3363,"Beth Yeshua Hamashiach, 7000, Bellaire Boulevard, Jeanetta, Houston, Harris County, Texas, 77074, United States of America", United States of America, United States of America
3364,"Aeropuerto Guaymaral, Carrera 120, Chorrillos, Suba, Bogotá, Distrito Capital, 250008, Colombia", Colombia, Colombia
3365,"Canicattì, Agrigento, Sicilia, 92024, Italia", Italia, Italy
3366,"Würzburg, Bayern, 97070, Deutschland", Deutschland, Germany
3369,"Port Vila, Shefa, PMB 9054, Vanuatu", Vanuatu, Vanuatu
3370,"Hell, Putnam Township, Livingston County, Michigan, United States of America", United States of America, United States of America
3371,"Biñan, Laguna, Calabarzon, 4024, Philippines", Philippines, Philippines
3372,"Vijayawada, Vijayawada (Urban), Krishna, Andhra Pradesh, 520001, India", India, India
3373,"In Your Dreams, Queen Elizabeth Drive, Cargate, North Town, Rushmoor, Hampshire, South East, England, GU11 1QG, United Kingdom", United Kingdom, United Kingdom
3374,"Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India", India, India
3375,"Disney, Campbell County, Tennessee, 37769, United States of America", United States of America, United States of America
3377,"Zürich, Bezirk Zürich, Zürich, Switzerland", Switzerland, Switzerland
3378,"Chubut, Argentina", Argentina, Argentina
3379,"Guayaquil, Guayas, Ecuador", Ecuador, Ecuador
3380,"Dan Musa, Katsina, Nigeria", Nigeria, Nigeria
3381,"Mega Bungs Falls (Left), Keansburg, Monmouth County, New Jersey, 07734, United States of America", United States of America, United States of America
3383,"Pine Tree, Pictou County, Nova Scotia, Canada", Canada, Canada
3385,"Abrantes, Santarém, Médio Tejo, Centro, Portugal", Portugal, Portugal
3387,"UPLB College of Forestry and Natural Resources, Domingo M. Lantican Avenue, Batong Malake, Los Baños, Laguna, Calabarzon, 4031, Philippines", Philippines, Philippines
3388,"City of Belmont, Western Australia, 6104, Australia", Australia, Australia
3390,"Queens, Queens County, New York, United States of America", United States of America, United States of America
3391,"Sioux Falls, Minnehaha County, South Dakota, United States of America", United States of America, United States of America
3392,"Johnstown, Cambria County, Pennsylvania, United States of America", United States of America, United States of America
3394,"Costa Noroeste, Cádiz, Andalucía, España", España,Spain
3395,"Lombardia, Italia", Italia, Italy
3397,"Galápagos, Guadalajara, Castilla-La Mancha, España", España,Spain
3398,"Pays de la Loire, France métropolitaine, France", France, France
3399,"Borneo, Malinau, Kalimantan Utara, Indonesia", Indonesia, Indonesia
3400,"Area 11, Abuja, Municipal Area Council, Federal Capital Territory, 223140, Nigeria", Nigeria, Nigeria
3401,"Jingletown, Oakland, Alameda County, California, 94601, United States of America", United States of America, United States of America
3402,"A, Buckhead, Atlanta, Fulton County, Georgia, 30327, United States of America", United States of America, United States of America
3404,"Delhi Merrut Expressway, Partapur, Meerut, Ghaziabad, Uttar Pradesh, 250103, India", India, India
3409,"Raccoon, Pike County, Kentucky, 41557, United States of America", United States of America, United States of America
3410,"Όλυμπος, Λεμεσός, Κύπρος, 4800, Κύπρος", Κύπρος, Cyprus
3411,"Christmas Island, 6798, Australia", Australia, Australia
3413,"Jongin, Kecamatan Dondo, Tolitoli, Sulawesi Tengah, Indonesia", Indonesia, Indonesia
3414,"Philadelphia International Airport, Escort Street, Philadelphia, Philadelphia County, Pennsylvania, 7500, United States of America", United States of America, United States of America
3415,"مُلتان, Multān District, پنجاب, 60000, پاکستان", پاکستان, Pakistan
3416,"Diemen, Noord-Holland, Nederland", Nederland,Netherlands
3417,"Mangaluru, Mangaluru taluk, Dakshina Kannada, Karnataka, 575001, India", India, India
3419,"New York, United States of America", United States of America, United States of America
3420,Україна,Україна,Ukraine
3421,"Chandigarh, 160033, India", India, India
3422,"Prescott, Yavapai County, Arizona, United States of America", United States of America, United States of America
3423,"Phoenix, Maricopa County, Arizona, United States of America", United States of America, United States of America
3424,"Aragua, Central, Venezuela", Venezuela, Venezuela
3425,"Delaware, United States of America", United States of America, United States of America
3426,"City of Melbourne, Victoria, Australia", Australia, Australia
3427,"Neverland, Carmel-by-the-Sea, Monterey County, California, 93921, United States of America", United States of America, United States of America
3428,"Chicago, Cook County, Illinois, United States of America", United States of America, United States of America
3433,"Santa Cruz de Tenerife, Canarias, España", España,Spain
3434,"Nevada, United States of America", United States of America, United States of America
3435,"Tesco, Western Avenue, Perivale, London Borough of Ealing, London, Greater London, England, UB6 8BZ, United Kingdom", United Kingdom, United Kingdom
3436,"Indaiatuba, Região Imediata de Campinas, Região Metropolitana de Campinas, Região Intermediária de Campinas, São Paulo, Região Sudeste, Brasil", Brasil, Brazil
3437,"São Luís, Microrregião da Aglomeração Urbana de São Luís, Mesorregião Norte Maranhense, Maranhão, Região Nordeste, Brasil", Brasil, Brazil
3438,"Sydney, Australia", Australia, Australia
3440,"Sydney, Australia", Australia, Australia
3441,"Seventeen, Notting Hill Gate, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 4AT, United Kingdom", United Kingdom, United Kingdom
3442,"Studewood Street, Houston Heights, Houston, Harris County, Texas, 77009, United States of America", United States of America, United States of America
3443,"Warszawa, województwo mazowieckie, Polska", Polska, Poland
3444,"Gurgaon, Gurugram, Haryana, India", India, India
3446,ประเทศไทย,ประเทศไทย,Thailand
3447,"Tulsa, Tulsa County, Oklahoma, United States of America", United States of America, United States of America
3448,"Orlando, Orange County, Florida, 32801, United States of America", United States of America, United States of America
3449,"Carriera de la Catalana, Claviers, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83830, France", France, France
3450,"Repar-iPhone, Avenue de la République, Quartier Saint-Ambroise, Paris, Île-de-France, France métropolitaine, 75011, France", France, France
3451,"Virginia, United States of America", United States of America, United States of America
3452,"Villefranche-sur-Saône, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69400, France", France, France
3453,"Rover, Beaufort County, North Carolina, United States of America", United States of America, United States of America
3454,"AROUND, 율하2로3번길, 율하동, 경상남도, 621-300, 대한민국", 대한민국,Republic of Korea
3455,"Hinojosa del Duque, Córdoba, Andalucía, 14270, España", España,Spain
3456,"Estadio Vicente Calderón, 67, Imperial, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28005, España", España,Spain
3458,"Prestonsburg, Floyd County, Kentucky, United States of America", United States of America, United States of America
3459,United States,United States,United States
3460,中国,中国,China
3461,"Boston, Suffolk County, Massachusetts, United States of America", United States of America, United States of America
3462,"Whitman County, Washington, United States of America", United States of America, United States of America
3463,"Insel Mauritius, Moka, Mauritius", Mauritius, Mauritius
3464,"Santa Clarita, Los Angeles County, California, United States of America", United States of America, United States of America
3465,"Opelika, Lee County, Alabama, United States of America", United States of America, United States of America
3466,Nigeria,Nigeria,Nigeria
3467,"Islas Canarias, Campo de Criptana, La Mancha, Ciudad Real, Castilla-La Mancha, 13610, España", España,Spain
3468,"Sydney, Australia", Australia, Australia
3469,"Pasir Gudang, Johor, 81700, Malaysia", Malaysia, Malaysia
3470,"Irvine, Cypress County, Alberta, Canada", Canada, Canada
3471,"Ponte de Lima, Viana do Castelo, Alto Minho, Norte, 4990-999, Portugal", Portugal, Portugal
3473,"USS Enterprise Street, Roeville, Santa Rosa County, Florida, 32570, United States of America", United States of America, United States of America
3474,San Marino,San Marino,San Marino
3476,"Pas-de-Calais, Hauts-de-France, France métropolitaine, France", France, France
3477,"Westcoast, Loopol Road, Shelley, Regional District of Fraser-Fort George, British Columbia, Canada", Canada, Canada
3478,"Aiken, Aiken County, Indian Land, United States of America", United States of America, United States of America
3483,"ڪراچي Karachi, Karāchi District, سنڌ, پاکستان", پاکستان, Pakistan
3484,"Pontiac, Livingston County, Illinois, 61764, United States of America", United States of America, United States of America
3485,"La Crosse, La Crosse County, Wisconsin, United States of America", United States of America, United States of America
3486,"Trabzon, Karadeniz Bölgesi, Türkiye", Türkiye,Turkey
3487,"Denver, Denver County, Colorado, United States of America", United States of America, United States of America
3489,"Annapolis, Anne Arundel County, Maryland, United States of America", United States of America, United States of America
3493,"Chauray, Niort, Deux-Sèvres, Nouvelle-Aquitaine, France métropolitaine, 79180, France", France, France
3494,"Hervey Bay, Queensland, 4655, Australia", Australia, Australia
